LINK,NAME OF EVENT,DATE
https://www.mofad.org/calendar/why-chopsticks-their-culture-history-and-sphere,"Why Chopsticks? Their Culture, History, and Sphere","Thursday, April 19, 2018"
https://www.mofad.org/calendar/baijiu-the-world-of-chinese-spirits,Baijiu: The World of Chinese Spirits,"Thursday, April 26, 2018"
https://www.mofad.org/calendar/the-language-of-flavor-in-honey,The Language of Flavor in Honey,"Thursday, May 3, 2018"
https://www.mofad.org/calendar/the-secret-science-of-agave-spirits,The Secret Science of Agave Spirits,"Thursday, May 10, 2018"
https://www.mofad.org/calendar/2018-mofad-spring-gala,2018 MOFAD Spring Gala,"Thursday, May 17, 2018"
https://www.mofad.org/calendar/night-market-afterparty-with-jarobi-white,Night Market Afterparty with Jarobi White,"Thursday, May 17, 2018"
https://www.mofad.org/calendar/ditch-the-dirt-the-rise-of-culinary-hydroponics,Ditch the Dirt: The Rise of Culinary Hydroponics,"Thursday, May 24, 2018"
https://www.mofad.org/calendar/bean-cookery-with-brooks-headley-why-cook-them-and-how,Bean Cookery with Brooks Headley: Why Cook Them and How,"Thursday, June 7, 2018"
https://www.mofad.org/calendar/dinners-of-the-past-the-spice-trade-of-the-medieval-world,Dinners of the Past: The Spice Trade of the Medieval World,"Thursday, June 14, 2018"
https://www.mofad.org/calendar/milk-a-food-fracas-with-mark-kurlansky,Milk! A Food Fracas with Mark Kurlansky,"Thursday, June 28, 2018"
https://www.mofad.org/calendar/from-palace-to-table-a-brief-history-of-the-duck-press,From Palace to Table: A Brief History of the Duck Press,"Sunday, July 1, 2018"
https://www.mofad.org/calendar/the-multitudes-of-miso-an-evening-with-bessou,The Multitudes of Miso: An Evening with Bessou,"Thursday, July 12, 2018"
https://www.mofad.org/calendar/what-came-first-a-brief-history-of-the-chinese-egg-tart,What Came First? A Brief History of the Chinese Egg Tart,"Sunday, July 15, 2018"
https://www.mofad.org/calendar/knights-of-the-raj-nyc,Knights of the Raj NYC,"Friday, July 20, 2018"
